Ligne;Mots retenus;PoS;lemmes;Ner_PERS;Ner_ORG;Ner_LIEU;Ner_COVID
ligne;[ligne];[NC];[ligne];[];[];[];[]
contenant;[contenant];[VPR];[contenir];[];[];[];[]
des;[];[];[];[];[];[];[]
mots;[mots];[NC];[mot];[];[];[];[]
-;[];[];[];[];[];[];[]
clés;[clés];[N];[clé];[];[];[];[]
liés;[liés];[VPP];[lier];[];[];[];[]
aux;[];[];[];[];[];[];[]
pièces;[pièces];[NC];[pièce];[];[];[];[]
d’occasion;[occasion];[N];[occasion];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
augmenté;[augmenté];[VPP];[augmenter];[];[];[];[]
de;[];[];[];[];[];[];[]
104;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
Le;[];[];[];[];[];[];[]
mot;[mot];[N];[mot];[];[];[];[]
;[];[];[];[];[];[];[]
vote;[vote];[NC];[vote];[];[];[];[]
;[];[];[];[];[];[];[]
:;[];[];[];[];[];[];[]
29;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
en;[];[];[];[];[];[];[]
un;[];[];[];[];[];[];[]
mois;[mois];[NC];[mois];[];[];[];[]
Le;[];[];[];[];[];[];[]
collier;[collier];[NC];[collier];[];[];[];[]
;[];[];[];[];[];[];[]
VOTE;[vote];[NC];[vote];[];[];[];[]
;[];[];[];[];[];[];[]
porté;[porté];[VPP];[porter];[];[];[];[]
par;[];[];[];[];[];[];[]
Michelle;[michelle];[ADJ];[michelle];[];[];[];[]
Obama;[obama];[NPP];[obama];[];[];[];[]
porté;[porté];[VPP];[porter];[];[];[];[]
cet;[];[];[];[];[];[];[]
été;[été];[VPP];[être];[];[];[];[]
lors;[];[];[];[];[];[];[]
de;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
convention;[convention];[NC];[convention];[];[];[];[]
démocrate;[démocrate];[ADJ];[démocrate];[];[];[];[]
a;[];[];[];[];[];[];[]
suscité;[suscité];[VPP];[susciter];[];[];[];[]
l'engouement;[engouement];[NC];[engouement];[];[];[];[]
dans;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
heures;[heures];[NC];[heure];[];[];[];[]
qui;[];[];[];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
suivi;[suivi];[VPP];[suivre];[];[];[];[]
.;[];[];[];[];[];[];[]
Beaucoup;[];[];[];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
ensuite;[];[];[];[];[];[];[]
revendiqué;[revendiqué];[VPP];[revendiquer];[];[];[];[]
leurs;[];[];[];[];[];[];[]
idées;[idées];[NC];[idée];[];[];[];[]
à;[];[];[];[];[];[];[]
travers;[];[];[];[];[];[];[]
leur;[];[];[];[];[];[];[]
style;[style];[NC];[style];[];[];[];[]
.;[];[];[];[];[];[];[]
Aux;[];[];[];[];[];[];[]
États;[états];[N];[états];[];[];[];[]
-;[];[];[];[];[];[];[]
Unis;[unis];[ADJ];[unis];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
contenant;[contenant];[VPR];[contenir];[];[];[];[]
le;[];[];[];[];[];[];[]
mot;[mot];[N];[mot];[];[];[];[]
;[];[];[];[];[];[];[]
vote;[vote];[NC];[vote];[];[];[];[]
;[];[];[];[];[];[];[]
sont;[sont];[V];[être];[];[];[];[]
montées;[montées];[VPP];[monter];[];[];[];[]
en;[];[];[];[];[];[];[]
flèche;[flèche];[NC];[flèche];[];[];[];[]
,;[];[];[];[];[];[];[]
augmentant;[augmentant];[VPR];[augmenter];[];[];[];[]
de;[];[];[];[];[];[];[]
29;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
en;[];[];[];[];[];[];[]
octobre;[octobre];[NC];[octobre];[];[];[];[]
,;[];[];[];[];[];[];[]
le;[];[];[];[];[];[];[]
tee;[tee];[ET];[tee];[];[];[];[]
-;[];[];[];[];[];[];[]
shirt;[shirt];[ET];[shirt];[];[];[];[]
engagé;[engagé];[VPP];[engager];[];[];[];[]
politiquement;[];[];[];[];[];[];[]
étant;[étant];[VPR];[être];[];[];[];[]
devenu;[devenu];[VPP];[devenir];[];[];[];[]
la;[];[];[];[];[];[];[]
pièce;[pièce];[NC];[pièce];[];[];[];[]
la;[];[];[];[];[];[];[]
plus;[];[];[];[];[];[];[]
convoitée;[convoitée];[VPP];[convoiter];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
signes;[signes];[NC];[signe];[];[];[];[]
du;[];[];[];[];[];[];[]
zodiaque;[zodiaque];[ADJ];[zodiaque];[];[];[];[]
:;[];[];[];[];[];[];[]
56;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
gens;[gens];[NC];[gens];[];[];[];[]
se;[];[];[];[];[];[];[]
sont;[sont];[V];[être];[];[];[];[]
tournés;[tournés];[VPP];[tourner];[];[];[];[]
vers;[];[];[];[];[];[];[]
l'astrologie;[astrologie];[NC];[astrologie];[];[];[];[]
et;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
amulettes;[amulettes];[NC];[amulette];[];[];[];[]
pour;[];[];[];[];[];[];[]
se;[];[];[];[];[];[];[]
sentir;[sentir];[VINF];[sentir];[];[];[];[]
guidés;[guidés];[VPP];[guider];[];[];[];[]
ou;[];[];[];[];[];[];[]
protégés;[protégés];[VPP];[protéger];[];[];[];[]
dans;[];[];[];[];[];[];[]
un;[];[];[];[];[];[];[]
contexte;[contexte];[NC];[contexte];[];[];[];[]
d'incertitude;[incertitude];[NC];[incertitude];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
contenant;[contenant];[VPR];[contenir];[];[];[];[]
les;[];[];[];[];[];[];[]
termes;[termes];[NC];[terme];[];[];[];[]
;[];[];[];[];[];[];[]
signes;[signes];[NC];[signe];[];[];[];[]
du;[];[];[];[];[];[];[]
zodiaque;[zodiaque];[ADJ];[zodiaque];[];[];[];[]
;[];[];[];[];[];[];[]
ou;[];[];[];[];[];[];[]
;[];[];[];[];[];[];[]
signe;[signe];[NC];[signe];[];[];[];[]
de;[];[];[];[];[];[];[]
naissance;[naissance];[NC];[naissance];[];[];[];[]
;[];[];[];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
augmenté;[augmenté];[VPP];[augmenter];[];[];[];[]
de;[];[];[];[];[];[];[]
56;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
d’une;[];[];[];[];[];[];[]
année;[année];[NC];[année];[];[];[];[]
à;[];[];[];[];[];[];[]
l’autre;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
A;[];[];[];[];[];[];[]
noter;[noter];[VINF];[noter];[];[];[];[]
que;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
après;[];[];[];[];[];[];[]
que;[];[];[];[];[];[];[]
Meghan;[meghan];[NPP];[meghan];[];[];[];[]
Markle;[markle];[NPP];[markle];[];[];[markle];[]
a;[];[];[];[];[];[];[]
été;[été];[VPP];[être];[];[];[];[]
repérée;[repérée];[VPP];[repérer];[];[];[];[]
portant;[portant];[VPR];[portant];[];[];[];[]
un;[];[];[];[];[];[];[]
collier;[collier];[NC];[collier];[];[];[];[]
;[];[];[];[];[];[];[]
mauvais;[mauvais];[ADJ];[mauvais];[];[];[];[]
oeil;[oeil];[N];[oeil];[];[];[];[]
;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
sur;[];[];[];[];[];[];[]
ce;[];[];[];[];[];[];[]
bijou;[bijou];[NC];[bijou];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
bondi;[bondi];[VPP];[bondir];[];[];[];[]
de;[];[];[];[];[];[];[]
58;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
en;[];[];[];[];[];[];[]
mai;[mai];[NC];[mai];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
boucles;[boucles];[NC];[boucle];[];[];[];[]
d'oreille;[oreille];[NC];[oreille];[];[];[];[]
uniques;[uniques];[ADJ];[unique];[];[];[];[]
:;[];[];[];[];[];[];[]
72;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
Malgré;[];[];[];[];[];[];[]
le;[];[];[];[];[];[];[]
port;[port];[NC];[port];[];[];[];[]
du;[];[];[];[];[];[];[]
masque;[masque];[ADJ];[masque];[];[];[];[]
qui;[];[];[];[];[];[];[]
risque;[risque];[V];[risque];[];[];[];[]
de;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
accrocher;[accrocher];[VINF];[accrocher];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
pages;[pages];[NC];[page];[];[];[];[]
vues;[vues];[NC];[voir];[];[];[];[]
pour;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
boucles;[boucles];[NC];[boucle];[];[];[];[]
d’oreille;[oreille];[NC];[oreille];[];[];[];[]
portées;[portées];[VPP];[porter];[];[];[];[]
d’un;[];[];[];[];[];[];[]
seul;[seul];[ADJ];[seul];[];[];[];[]
côté;[côté];[NC];[côté];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
également;[];[];[];[];[];[];[]
connu;[connu];[VPP];[connaître];[];[];[];[]
une;[];[];[];[];[];[];[]
augmentation;[];[];[];[];[];[];[]
de;[];[];[];[];[];[];[]
72;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
depuis;[];[];[];[];[];[];[]
l’an;[an];[NC];[an];[];[];[];[]
dernier;[dernier];[ADJ];[dernier];[];[];[];[]
.;[];[];[];[];[];[];[]
On;[];[];[];[];[];[];[]
s;[];[];[];[];[];[];[]
';[];[];[];[];[];[];[]
arrache;[arrache];[NC];[arracher];[];[];[];[]
les;[];[];[];[];[];[];[]
Crocs;[crocs];[ADJ];[crocs];[];[];[];[]
et;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
UGG;[ugg];[NPP];[ugg];[];[];[];[]
Les;[];[];[];[];[];[];[]
chaussures;[chaussures];[NC];[chaussure];[];[];[];[]
les;[];[];[];[];[];[];[]
plus;[];[];[];[];[];[];[]
polémiques;[polémiques];[NC];[polémique];[];[];[];[]
deviennent;[deviennent];[V];[devenir];[];[];[];[]
cette;[];[];[];[];[];[];[]
année;[année];[NC];[année];[];[];[];[]
l’un;[];[];[];[];[];[];[]
des;[];[];[];[];[];[];[]
articles;[articles];[NC];[article];[];[];[];[]
plus;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
prisés;[prisés];[VPP];[priser];[];[];[];[]
au;[];[];[];[];[];[];[]
monde;[monde];[NC];[monde];[];[];[];[]
:;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
mensuelles;[mensuelles];[ADJ];[mensuel];[];[];[];[]
pour;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
Crocs;[crocs];[ADJ];[crocs];[];[];[];[]
avoisinent;[avoisinent];[V];[avoisiner];[];[];[];[]
en;[];[];[];[];[];[];[]
moyenne;[moyenne];[ADJ];[moyenne];[];[];[];[]
135;[];[];[];[];[];[];[]
0;[];[];[];[];[];[];[]
requêtes;[requêtes];[NC];[requête];[];[];[];[]
,;[];[];[];[];[];[];[]
avec;[];[];[];[];[];[];[]
un;[];[];[];[];[];[];[]
pic;[pic];[NC];[pic];[];[];[];[pic]
au;[];[];[];[];[];[];[]
printemps;[printemps];[NC];[printemps];[];[];[];[]
.;[];[];[];[];[];[];[]
KFC;[kfc];[NPP];[kfc];[];[];[];[]
a;[];[];[];[];[];[];[]
collaboré;[collaboré];[VPP];[collaborer];[];[];[];[]
avec;[];[];[];[];[];[];[]
Crocs;[crocs];[ADJ];[crocs];[];[];[];[]
pour;[];[];[];[];[];[];[]
lancer;[lancer];[VINF];[lancer];[];[];[];[]
une;[];[];[];[];[];[];[]
paire;[paire];[NC];[paire];[];[];[];[]
de;[];[];[];[];[];[];[]
sabots;[sabots];[NC];[sabot];[];[];[];[]
dédiée;[dédiée];[VPP];[dédier];[];[];[];[]
au;[];[];[];[];[];[];[]
poulet;[poulet];[NC];[poulet];[];[];[];[]
et;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
stocks;[stocks];[NC];[stock];[];[];[];[]
se;[];[];[];[];[];[];[]
sont;[sont];[V];[être];[];[];[];[]
écoulés;[écoulés];[VPP];[écouler];[];[];[];[]
en;[];[];[];[];[];[];[]
une;[];[];[];[];[];[];[]
demi;[demi];[ADJ];[demi];[];[];[];[]
-;[];[];[];[];[];[];[]
heure;[heure];[N];[heure];[];[];[];[]
.;[];[];[];[];[];[];[]
Justin;[justin];[NPP];[justin];[];[];[];[]
Bieber;[bieber];[NPP];[bieber];[];[];[];[]
va;[va];[V];[aller];[];[];[];[]
également;[];[];[];[];[];[];[]
s;[];[];[];[];[];[];[]
';[];[];[];[];[];[];[]
associer;[associer];[VINF];[associer];[];[];[];[]
à;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
griffe;[griffe];[NC];[griffe];[];[];[];[]
.;[];[];[];[];[];[];[]
Quant;[];[];[];[];[];[];[]
aux;[];[];[];[];[];[];[]
chaussons;[chaussons];[VIMP];[chausson];[];[];[];[]
et;[];[];[];[];[];[];[]
bottes;[bottes];[NC];[botte];[];[];[];[]
confortables;[confortables];[ADJ];[confortable];[];[];[];[]
signés;[signés];[VPP];[signer];[];[];[];[]
UGG;[ugg];[NPP];[ugg];[];[];[];[]
,;[];[];[];[];[];[];[]
ils;[];[];[];[];[];[];[]
font;[font];[V];[faire];[];[];[];[]
partie;[partie];[NC];[partie];[];[];[];[]
des;[];[];[];[];[];[];[]
articles;[articles];[NC];[article];[];[];[];[]
les;[];[];[];[];[];[];[]
plus;[];[];[];[];[];[];[]
recherchés;[recherchés];[VPP];[recherché];[];[];[];[]
de;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
marque;[marque];[NC];[marque];[];[];[];[]
,;[];[];[];[];[];[];[]
totalisant;[totalisant];[VPR];[totalisant];[];[];[];[]
respectivement;[];[];[];[];[];[];[]
201;[];[];[];[];[];[];[]
0;[];[];[];[];[];[];[]
et;[];[];[];[];[];[];[]
90;[];[];[];[];[];[];[]
500;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
en;[];[];[];[];[];[];[]
moyenne;[moyenne];[ADJ];[moyenne];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
joggings;[joggings];[NC];[jogging];[];[];[];[]
Nike;[nike];[NPP];[nike];[];[];[];[]
:;[];[];[];[];[];[];[]
213;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
La;[];[];[];[];[];[];[]
majorité;[majorité];[NC];[majorité];[];[];[];[]
de;[];[];[];[];[];[];[]
2020;[2020];[N];[2020];[];[];[];[]
étant;[étant];[VPR];[être];[];[];[];[]
passée;[passée];[VPP];[passer];[];[];[];[]
à;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
maison;[maison];[NC];[maison];[];[];[];[]
,;[];[];[];[];[];[];[]
nous;[];[];[];[];[];[];[]
nous;[];[];[];[];[];[];[]
sommes;[sommes];[NC];[être];[];[];[];[]
dirigés;[dirigés];[VPP];[diriger];[];[];[];[]
vers;[];[];[];[];[];[];[]
plus;[];[];[];[];[];[];[]
de;[];[];[];[];[];[];[]
vêtements;[vêtements];[NC];[vêtement];[];[];[];[]
d’intérieur;[intérieur];[N];[intérieur];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
de;[];[];[];[];[];[];[]
joggings;[joggings];[NC];[jogging];[];[];[];[]
Nike;[nike];[NPP];[nike];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
notamment;[];[];[];[];[];[];[]
explosé;[explosé];[VPP];[exploser];[];[];[];[]
de;[];[];[];[];[];[];[]
213;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
en;[];[];[];[];[];[];[]
un;[];[];[];[];[];[];[]
an;[an];[NC];[an];[];[];[];[]
.;[];[];[];[];[];[];[]
Pantalons;[pantalons];[VIMP];[pantalons];[];[];[];[]
de;[];[];[];[];[];[];[]
survêtements;[survêtements];[NC];[survêtement];[];[];[];[]
:;[];[];[];[];[];[];[]
104;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
en;[];[];[];[];[];[];[]
un;[];[];[];[];[];[];[]
mois;[mois];[NC];[mois];[];[];[];[]
En;[];[];[];[];[];[];[]
avril;[avril];[NC];[avril];[];[];[];[]
2020;[2020];[N];[2020];[];[];[];[]
,;[];[];[];[];[];[];[]
quand;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
plupart;[plupart];[ADJ];[plupart];[];[];[];[]
d’entre;[];[];[];[];[];[];[]
nous;[];[];[];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
commencé;[commencé];[VPP];[commencer];[];[];[];[]
à;[];[];[];[];[];[];[]
rester;[rester];[VINF];[rester];[];[];[];[]
à;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
maison;[maison];[NC];[maison];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
pour;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
pantalons;[pantalons];[VIMP];[pantalon];[];[];[];[]
de;[];[];[];[];[];[];[]
survêtement;[];[];[];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
augmenté;[augmenté];[VPP];[augmenter];[];[];[];[]
de;[];[];[];[];[];[];[]
104;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
par;[];[];[];[];[];[];[]
rapport;[rapport];[N];[rapport];[];[];[];[]
au;[];[];[];[];[];[];[]
mois;[mois];[NC];[mois];[];[];[];[]
précédent;[précédent];[ADJ];[précédent];[];[];[];[]
,;[];[];[];[];[];[];[]
celles;[];[];[];[];[];[];[]
sur;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
joggings;[joggings];[NC];[jogging];[];[];[];[]
de;[];[];[];[];[];[];[]
123;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
et;[];[];[];[];[];[];[]
celles;[];[];[];[];[];[];[]
sur;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
leggings;[leggings];[NC];[leggings];[];[];[];[]
de;[];[];[];[];[];[];[]
48;[48];[N];[48];[];[];[];[]
%;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
pyjamas;[pyjamas];[NC];[pyjama];[];[];[];[]
:;[];[];[];[];[];[];[]
120;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
vêtements;[vêtements];[NC];[vêtement];[];[];[];[]
confortables;[confortables];[ADJ];[confortable];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
été;[été];[VPP];[être];[];[];[];[]
la;[];[];[];[];[];[];[]
priorité;[priorité];[NC];[priorité];[];[];[];[]
de;[];[];[];[];[];[];[]
l'année;[année];[NC];[année];[];[];[];[]
:;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
sur;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
ensembles;[ensembles];[NC];[ensemble];[];[];[];[]
de;[];[];[];[];[];[];[]
pyjama;[pyjama];[V];[pyjama];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
augmenté;[augmenté];[VPP];[augmenter];[];[];[];[]
de;[];[];[];[];[];[];[]
120;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
en;[];[];[];[];[];[];[]
un;[];[];[];[];[];[];[]
an;[an];[NC];[an];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
brassières;[brassières];[ADJ];[brassière];[];[];[];[]
:;[];[];[];[];[];[];[]
45;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
en;[];[];[];[];[];[];[]
un;[];[];[];[];[];[];[]
mois;[mois];[NC];[mois];[];[];[];[]
En;[];[];[];[];[];[];[]
avril;[avril];[NC];[avril];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
brassières;[brassières];[ADJ];[brassière];[];[];[];[]
faisaient;[faisaient];[V];[faire];[];[];[];[]
partie;[partie];[NC];[partie];[];[];[];[]
des;[];[];[];[];[];[];[]
catégories;[catégories];[NC];[catégorie];[];[];[];[]
de;[];[];[];[];[];[];[]
lingerie;[lingerie];[NC];[lingerie];[];[];[];[]
les;[];[];[];[];[];[];[]
plus;[];[];[];[];[];[];[]
recherchées;[recherchées];[VPP];[recherché];[];[];[];[]
,;[];[];[];[];[];[];[]
augmentant;[augmentant];[VPR];[augmenter];[];[];[];[]
de;[];[];[];[];[];[];[]
45;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
au;[];[];[];[];[];[];[]
cours;[cours];[N];[cours];[];[];[];[]
